,Unnamed: 0,login,post,likes,time,subscribers,subscriptions,Объем портфеля,Сделок за 30 дней,За год,lemm_post
0,0,morcvec,посмотрел новый финекса очень смущают доли 7 этих sea limited unity bilibili целом вполне использовать вложений очень мелких сумм чисто ставка индустрию благодаря наличию крупной суммарной доли nvda tcehy nintendo atvi ea ttwo ubisoft capcom kingsoft уравновешивания множества перегретых ненадёжных скриншоте весь состав вчерашний день целом адекватно брать небольшую сумму увеличения экспозиции компаниях вроде тенсент нвидиа возможностью заработать дополнительную доходность случае долгосрочного успеха прочей рискованной мелочи лдв кроме прочего никуда исчезала фонды продолжаю покупать именно ради неё несмотря собранный портфель квалифицированных инвесторов igm qqq igv ihi psi отличие самых полезных фондов длинные облигации отрицательной реальной доходностью любимый управляющий предоставил российским инвесторам интересное прикуплю немного нвидиа уронит благодаря крупной доле коррекцией сплита ближайшем походе вниз рынка учётом успеха сделки arm компанию максимум 700 акцию оценить выходя рамки адекватности 800 чисто результат хайпа удивлюсь 10 просадки фоне 2 широкого рынка обрадуюсь пока всё удачи нам всем держите руку пульсе,9,2021-07-15 15:07:00,3874,3,до 3000000 ₽,21,17.44,посмотреть новый etf очень смущать доля 7 5 4.5 весь sea limited unity bilibili целое фонд вполне использовать вложение очень мелкий сумма чисто ставка индустрия благодаря наличие крупный суммарный доля nvda amd tcehy nintendo atvi ea ttwo ubisoft capcom kingsoft достаточно уравновешивание множество перегретый ненадежный компания скриншот весь состав вчерашний день целое адекватно брать небольшой сумма увеличение экспозиция компания вроде тенсент нвидиа возможность зарабатывать дополнительный доходность случай долгосрочный успех прочий рискованный мелочь лдв кроме прочее никуда исчезать фонд продолжать покупать именно ради несмотря собранный портфель etf квалифицированный инвестор igm qqq igv ihi psi отличие самый полезный фонд длинный облигация отрицательный реальный доходность любить управляющий предоставлять российский инвестор что-то интересный прикупать немного нвидиа уронить благодаря крупный доля коррекция сплит близкий поход вниз рынок учет успех сделка arm компания максимум 700 акция оценивать выходить рамка адекватность 800 чисто результат хайп удивляться 10 просадка фон 2 3 широкий рынок обрадоваться пока удача держать рука пульс
1,1,BonSai_108,добавляю долгосрочный портфель иис брокер новый глобальных игровой индустрии отслеживает global video gaming and esports который включены 26 покрывающие менее 90 индустрии топ 10 амd tencent 7 sea nintendo activision blizzard netease unity software bilibili electronic arts основные условия комиссия 0 годовых рассчитывается 2015г среднегодовая доходность 35 максимальная просадка 23 гарантирует доходности будущем распределение странам 43 19 китай 18 япония тайвань многие торгуются спб 50 азиатский рынок который перспективен фундаментальные метрики p e 46 p b p s дивидендная доходность 0 54 дивиденды реинвестируются плюсы рынок прогнозам расти год преимущественно счёт драйверов рост популярности мобильных игр развитием развитие сегмента среди азиатского населения закрытые границы заставляют искать новые впечатления методы проведения досуга мобильные игры вариантов исключение рисков игровые чаше растут благодаря запуску новых проектов успешных игр также могут уйти коррекцию проект окажется популярен потрачены средства время выручка крайне маленькой минимизирует такие риски доля одной игровой превышает портфеле интересные игровые расположены азии недоступны спб,4,2021-07-15 15:07:00,2952,19,до 500000 ₽,184,19.57,"добавлять долгосрочный портфель иис брокер новый фонд акция глобальный компания игровой индустрия киберспорт ⠀ фонд отслеживать индекс mvis global video gaming and esports который включать 26 компания покрывать менее 90 компания индустрия видеоигр топ 10 ⠀ nvidia 9 амd 8 tencent 7 sea 6.9 nintendo 6 activision blizzard 5 netease 5 unity software 5 bilibili 4.6 electronic arts 4.5 ⠀ 🛎 основной условие комиссия 0 9 годовой индекс mvis рассчитываться 2015г среднегодовой доходность 35 %,  максимальный просадка 23 % ( гарантировать доходность будущее ⠀ распределение акция страна 43 сша 19 китай 18 япония 8 3 тайвань многий компания торговаться спб 50 фонд азиатский рынок который достаточно перспективный ⠀ фундаментальный метрика фонд p e 46 p b 5 9 p s 6 4 дивидендный доходность 0 54 %,  дивиденд реинвестироваться ⠀ плюс фонд рынок видеоигр прогноз расти 9 год преимущественно счет драйвер ✨ рост популярность мобильный игра ✨ развитие киберспорт ✨ развитие сегмент среди азиатский население ⠀ закрытый граница заставлять искать новый впечатление метод проведение досуг мобильный игра вариант ⠀ ✅ исключение риск игровой компания чаша расти благодаря запуск новый проект успешный игра также мочь уходить коррекция проект оказываться популярный потратить средство время выручка крайне маленький ⠀ 🍋 фонд минимизировать риск доля игровой компания превышать 8 портфель ⠀ интересный игровой компания располагать азия недоступный спб фонд купить bonsai"
2,2,vova.bless,запустил новый видеоигры video gaming and esports ucits разбираемся стоит инвестировать устроен видеоигры позволяет инвестировать стремительно растущую игровую индустрию составе производителей игровых комплектующих также разработчики издатели номинирован долларах тикер комиссия 0 цена одной 74 рубля распределение странам 43 китай 19 япония 18 тайвань южная корея швеция 2 франция 85 составе следующие гиганты отрасли tencent nintendo activision blizzard electronic arts другие широкая диверсификация плюс понравилось огромная доля аж бумагой осторожнее вопрос intel отлично подойдет тех верит индустрию игр давно хотел инвестировать кому хватает денег покупку рассмотреть определенно стоит пока буду стороне думаете,1,2021-07-15 15:07:00,41,19,до 500000 ₽,14,28.89,🕹 запускать новый фонд видеоигра киберспорт  « video gaming and esports ucits etf » 🔥 разбираться стоять инвестировать устроенный фонд  « видеоигра киберспорт »  позволять инвестировать стремительно расти игровой индустрия состав фонд  –  акция производитель игровой комплектующий также разработчик издатель видеоигр фонд номинировать доллар сша тикер фонд  –  комиссия фонд  –  0 9 цена акция  –  74 рубль распределение страна 🇺 🇸 сша 43 3 🇨 🇳 китай 19 5 🇯 🇵 япония 18.1 🇹 🇼 тайвань 8 3 🇰 🇷 южный корея 4 6 🇨 🇭 швеция 3 2 🇫 🇷 франция 1 85 🚀 состав фонд следующий гигант отрасль nvidia amd tencent nintendo activision blizzard electronic arts достаточно широкий диверсификация плюс единственный понравиться огромный доля nvidia аж 9 5 бумага осторожно вопрос intel ?! 💼 фонд отлично подходить верить индустрия игра давно хотеть инвестировать хватать деньги покупка акция nvidia 😂 рассматривать определенно стоять пока сторона 🤔 думать
3,3,Serg0787,долларах,1,2021-07-15 14:07:00,7,13,до 3000000 ₽,119,23.65,купить доллар фонд
4,4,ProInvestNews,новыйфонд разбор new игры games 14 июля начались торги тикером игровой индустрии торгуется московской бирже входящие портфель номинированы восьми валютах номинирован рублях долларах начальная стоимость около комиссия составит 0 годовых отслеживает global video gaming esports total return net index покрывающий 90 игровой индустрии первый россии тематический который позволяет вложиться игровой индустрии получающие большую часть выручки продажи лицензий видеоигры разработки обеспечения производства игрового железа организации киберспортивных мероприятий безусловно позволит инвесторам помимо сделать ставку перспективный глобальный рынок получить дополнительную диверсификацию инвестиционного портфеля провайдером investable indices предусмотрена ежеквартальная ребалансировка марте июне сентябре декабре состав фонде развитых развивающихся стран соотношении 68 32 рисунке приведен страновой состав индекса конец июня 2021 г распределение наибольшую долю индекса занимают азиатского региона фото отбираются следует индексом global video gaming and esports investable indices одного ведущих поставщиков индексов могут включаться чья выручка сегмента составляет менее 50 общего размера портфель входят 26 сегмента восьми стран среди издатели разработчики игр activision blizzard electronic arts taketwo interactive tencent roblox sony nintendo американские производители железа тайваньский производитель электроники micro star msi также другие которым индустрия приносит минимум половину выручки южная корея индексе интересен игровой рынок данным mordor intelligence одного поставщиков информации рынку игровая индустрия 2020 году оценивалась 174 млрд следующие лет прогнозируется удвоение основные предпосылки такому стремительному росту развитие проникновение технологий перетекание досуга онлайн форматы усиленное пандемией хотя covid 19 помог инвесторам получить хороший рост тенденция росту долгосрочная первых гейминг вопреки расхожему мнению интересует школьников возраст среднестатического геймера 34 года доля 20 летних составляет 10 приходится людей старше 50 лет вторых гейминг доступны всем желающим нужно высоким сильным стать успешным игровом спорте игроков любителей миллиарды число профессиональных киберспортсменов несколько превышает число nfl nba mlb третьих глобальная история например проходивший небольшом польском городке intel s extreme masters finals прямом эфире смотрели жители 180 стран лидер выручке рынок китая получил признание официальном уровне станет медальным видом спорта азиатских играх 2022 прогнозам эксертов концу 2021 года объем китайского игрового рынка достигнет 35 млрд долл численность игроков 650 млн человек 2 раза населения,0,2021-07-15 14:07:00,107,27,до 500000 ₽,158,22.01,"etf новыйфонд разбор new игра games 14 июль начинаться торги etf тикер фонд акция компания игровой индустрия киберспорт торговаться московский биржа ₽ акция входить портфель фонд номинировать восемь валюта 🔸 фонд номинировать рубль доллар начальный стоимость акция около 1 🔸 комиссия фонд составлять 0 9 годовой 🔸 фонд отслеживать индекс mvis global video gaming esports total return net index покрывать 90 игровой индустрия первый россия тематический фонд который позволять вложиться компания игровой индустрия получать большой часть выручка продажа лицензия видеоигра разработка программный обеспечение производство игровой  « железо »,  организация киберспортивный мероприятие безусловно данный etf позволять инвестор помимо сделать ставка перспективный глобальный рынок получать дополнительный диверсификация инвестиционный портфель индекс провайдер mvis investable indices предусматривать ежеквартальный ребалансировка март июнь сентябрь декабрь 📝 состав фонд фонд акция развитый развивающийся страна соотношение 68 32 рисунок 1 приводить страновой состав индекс конец июнь 2021 г ⚖ ️распределение большой доля индекс занимать компания азиатский регион сша фото 🤔 отбираться компания следовать индекс mvis global video gaming and esports mvis investable indices ведущий поставщик индекс ☝ 🏻 индекс мочь включаться компания чей выручка сегмент видеоигр киберспорт составлять мало 50 общий размер портфель фонд входить 26 акция сегмент видеоигр киберспорт восемь страна среди издатель разработчик игра 🖱 ️  activision blizzard 🖱 ️  electronic arts 🖱 ️  taketwo interactive 🖱 ️  tencent 🖱 ️  roblox 🖱 ️  sony 🖱 ️  nintendo американский производитель  « железо » 
 💻 nvidia 💻 amd 💻 тайваньский производитель электроника micro star msi ),
 также компания который индустрия видеоигр приносить минимум половина выручка южный корея индекс 🤔 интересный игровой рынок данные mordor intelligence поставщик информация рынок видеоигр киберспорт игровой индустрия 2020 год оцениваться 174 млрд сша следующий 5 год прогнозироваться удвоение основной предпосылка стремительный рост  —  развитие проникновение технология перетекание досуг онлайн формат усиленный пандемия хотя covid 19 помогать инвестор получать хороший рост тенденция рост долгосрочный 🗣 ️во первый гейминг вопреки расхожий мнение интересовать школьник возраст среднестатический геймер 34 год доля 20 30 летний составлять 30 %,  10 приходиться человек старый 50 год 🗣 ️во второй гейминг киберспорт доступный весь желающий нужно высокий сильный становиться успешный игровой спорт игрок любитель миллиард число профессиональный киберспортсмен несколько превышать число nfl nba mlb 🗣 ️в третий глобальный история  —  например проходить небольшой польский городок intel ’ s extreme masters finals прямой эфир смотреть житель 180 страна лидер выручка видеоигр  —  рынок китай киберспорт получать признание официальный уровень становиться медальный вид спорт азиатский игра 2022 прогноз эксерт конец 2021 год объем китайский игровой рынок достигать 35 млрд долл численность игрок  —  650 млн человек 2 большой население сша :// etf ru products"
5,5,AndreiInvestorZ,здравствуй друг сегодня хочу посоветовать тебе очень перспективный всем мире идёт смена поколений старое поколение уходит новое появляется видео игры большой части интересны молодому поколению стал полноценным спортом своими фанатами ставками самое время время пандемии момент проводится крупных турниров пандемия угаснет продолжит развиваться набирать популярность лично вкладываюсь долгосрочную перспективу случае просадки буду докупать всем добра видеоигры games,0,2021-07-15 14:07:00,1,4,до 50000 ₽,8,1.26,"здравствовать друг сегодня хотеть посоветовать очень перспективный фонд мир идти смена поколение старый поколение уходить новый появляться видео игра большой часть интересный молодой поколение киберспорт становиться полноценный спорт свой фанат ставка самый время время пандемия купить фонд данный момент проводиться крупный турнир пандемия угасать киберспорт продолжать развиваться набирать популярность лично вкладываться долгосрочный перспектива случай просадка докупать добро :) 
 киберспорт видеоигра games фонд"
6,6,AGED,пропустил распродажу,1,2021-07-15 13:07:00,1,20,до 50000 ₽,132,-179.38,пропускать распродажа
7,7,v4us,спекулянтов фондах,0,2021-07-15 12:07:00,49,26,до 500000 ₽,37,40.55,"весь спекулянт фонд :// www tinkoff ru invest social profile boring invest 7ce1deda dd9c 4f2b ab70 bb8418c85000 utm source share  :-)
"
8,8,MXMBNKNDRF,netflix 2022 году появится раздел сообщает bloomberg сообщает источник издания вводить дополнительную плату доступ играм сервис начальных этапах собирается судя всему netflix планирует выпускать уникальный контент которого конкурентов руководителем подразделения поставили майка верду который вице президентом facebook reality labs вице президентом мобильным играм electronic arts также разрабатывал игры очков виртуальной реальности oculus контент ожидать скорее платформа ориентироваться дополненную реальность интерактивное кино netflix показывали умеют довольно успешно примере черное зеркало брандашмыг обожаю русский перевод названия фильма вряд площадка предложит классические жанры продолжит экспериментировать своём направлении одним возможных направлений стать облачный гейминг ребятам предстоит побороться google microsoft место солнцем обычных геймеров nflx msft nvda,1,2021-07-15 12:07:00,7,28,до 50000 ₽,168,-22.16,📈 netflix 2022 год появляться раздел видеоигр сообщать bloomberg сообщать источник издание вводить дополнительный плата доступ игра сервис начальный этап собираться судя netflix планировать выпускать уникальный контент который конкурент руководитель подразделение поставлять майка верда который вице-президент facebook reality labs вице-президент мобильный игра electronic arts также разрабатывать игра очки виртуальный реальность oculus 🤔 контент ожидать скоро платформа ориентироваться дополнять реальность интерактивный кино netflix показывать уметь довольно успешно пример  « черный зеркало брандашмыг » ( обожать русский перевод название фильм вряд площадка предлагать классический жанр продолжать экспериментировать свой направление возможный направление мочь становиться облачный гейминг ребята предстоять побороться google microsoft nvidia место солнце обычный геймер nflx msft nvda
9,9,v4us,посмотреть пульс фонду многие пишут ракета удалось заработать 36 далее хотелось пояснить термин прокол кратковременное изменение цены связи моментальной потерей ликвидности бумаги именно вероятности проколов отложенные ордера take profit stop loose срабатывают задержкой произошло почему происходят проколы рынке 2 типа игроков точки зрения ликвидности taker берущий maker создающий берущий уменьшает объём доступной ликвидности создающий её увеличивает разными типами заявок лимитные заявки создают ликвидность будут удовлетворены продолжат существовать торговой системе будут ожидать своего выполнения время рыночные заявки сметают покупаете рынку путать лучшей ценой тинькофф инвестиции рыночная лимитная заявка выставленной ценой выше рыночной увеличения шанса удовлетворения иссякла ликвидность цена лететь космос маркет макар поддерживает ликвидность уровне 100 000 лотов остальная ликвидность рыночная маркет макер переодически пропадает пропускает часть биржевых временных тиков торговый тик московской биржи 500мс рыночная заявка способна подвинуть цену вверх быстро полежать другие боты московской бирже механизм защиты срабатывает момент открытий сессий вывод старайтесь покупать рынку очень обдуманно относитесь форме заявке хотите ловить такие проколы могут верх низ моменты высокой активности открытие закрытие сессии выставляйте лимитные заявки нужную цену отлоденные ордера надеюсь всем участникам стало понятнее отсутсвие ликвидности покупку продажу двигает цену соответствующую сторону,6,2021-07-15 12:07:00,49,26,до 500000 ₽,37,40.55,"посмотреть пульс фонд многие писать ракета удаваться зарабатывать 36 далее хотеться пояснять термин : « прокол » кратковременный изменение цена связь моментальный потеря ликвидность бумага именно из-за вероятность прокол откладывать ордер take profit  //  stop loose срабатывать задержка происходить почему происходить прокол рынок 2 тип игрок точка зрение ликвидность taker брать maker создавать брать уменьшать объем доступный ликвидность создавать увеличивать разный тип заявка лимитный заявка создавать ликвидность удовлетворять продолжать существовать торговый система ожидать свой выполнение время рыночный заявка сметать покупать рынок путать хороший цена тинькофф инвестиция рыночный лимитный заявка выставлять цена высокий рыночный увеличение шанс удовлетворение иссякать ликвидность цена лететь космос маркет макар поддерживать ликвидность уровень 100 000 лот остальной ликвидность рыночный маркет макер переодически пропадать пропускать часть биржевой временный тик торговый тик московский биржа 500мс ),  рыночный заявка способный подвигать цена вверх быстро полежать бот московский биржа механизм защита срабатывать момент открытие сессия :// www moex com n30641 nt 106 вывод стараться покупать рынок очень обдуманно относиться форма заявка хотеть ловить  « прокол » ( мочь верх низ момент высокий активность открытие закрытие сессия )),  выставлять лимитный заявка нужный цена отлоденный ордер надеяться весь участник становиться понятно отсутсвие ликвидность покупка продажа двигать цена соответствующий сторона"
